appid,llm5_has_clear_main_protagonist,llm5_protagonist_name,llm5_protagonist_type,llm5_protagonist_confidence_0_3,llm5_primary_archetype,llm5_secondary_archetype,llm5_tertiary_archetype,llm5_archetype_confidence_0_3,llm5_archetype_suitability_0_3,llm5_shadow_load_0_3,llm5_player_projection_0_3,llm5_narrative_complexity_0_3,llm5_suggested_include_in_final_corpus,llm5_exclusion_reason,llm5_needs_manual_review,llm5_evidence_basis,llm5_note,llm5_custom_id,llm5_split_label,llm5_model_used
1817190,yes,Marvel’s Spider-Man: Miles Morales,fixed_named_single,3,Hero/Warrior,Innocent,Caregiver/Guardian,3,3,0,1,2,yes,none,False,general_knowledge,Miles becomes neighborhood Spider-Man.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
310950,no,Street Fighter V,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,3,0,0,0,1,no,multiplayer_only_or_no_story_focus,True,general_knowledge,Fighting roster lacks single lead.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
599140,yes,Graveyard Keeper,fixed_role_single,3,Everyman/Orphan,Creator/Artist,Shadow/Antihero,2,2,1,2,1,maybe,simulator_or_management,False,general_knowledge,Displaced keeper manages graveyard.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
601510,no,Yu-Gi-Oh! Duel Links,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Card dueling service, no lead.",steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
269210,yes,Hero Siege,player_avatar_weakly_defined,2,Hero/Warrior,Explorer/Seeker,Magician/Transformer,2,1,0,3,1,maybe,none,False,general_knowledge,Generic class hero fights demons.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
2338770,no,NBA 2K24,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,sports_or_racing,False,general_knowledge,Basketball sports title.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
476600,yes,Call of Duty: WWII,fixed_named_single,3,Hero/Warrior,Everyman/Orphan,Caregiver/Guardian,3,3,0,1,2,yes,none,False,general_knowledge,Red Daniels infantry campaign.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
666140,yes,My Time at Portia,customizable_but_defined,3,Creator/Artist,Caregiver/Guardian,Lover,3,3,0,3,2,yes,simulator_or_management,False,general_knowledge,Custom builder restores workshop.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
2124490,yes,SILENT HILL 2,fixed_named_single,3,Shadow/Antihero,Lover,Explorer/Seeker,3,3,3,1,3,yes,none,False,general_knowledge,James searches through guilt.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
860510,yes,Little Nightmares II,silent_fixed_protagonist,3,Innocent,Explorer/Seeker,Shadow/Antihero,3,3,1,1,2,yes,none,False,general_knowledge,Mono journeys through nightmare world.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
253710,no,theHunter Classic,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,simulator_or_management,False,general_knowledge,Hunting simulation sandbox.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
273110,no,Counter-Strike Nexon: Studio,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Multiplayer shooter modes.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
2161700,yes,Persona 3 Reload,silent_fixed_protagonist,3,Hero/Warrior,Magician/Transformer,Everyman/Orphan,3,3,1,2,3,yes,none,False,general_knowledge,Silent transfer student leads SEES.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
834910,no,ATLAS,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,MMO survival pirate avatars.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
261640,yes,Borderlands: The Pre-Sequel,fixed_ensemble,3,Rebel/Outlaw,Shadow/Antihero,Jester/Trickster,3,2,2,2,2,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Playable Vault Hunter antihero ensemble.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
843380,no,Super Animal Royale,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Battle royale animal avatars.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
312520,yes,Rain World,nonhuman_fixed_protagonist,3,Everyman/Orphan,Explorer/Seeker,Innocent,3,3,0,1,2,yes,none,False,general_knowledge,Slugcat survives hostile ecosystem.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
1295660,no,Sid Meier's Civilization VII,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,pure_strategy_or_systemic_role,False,general_knowledge,Civilization-scale strategy control.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
242920,no,Banished,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,pure_strategy_or_systemic_role,False,general_knowledge,"Settlement management, no protagonist.",steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
1501750,yes,Lords of the Fallen,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Shadow/Antihero,2,3,2,3,2,yes,none,False,general_knowledge,Custom Lampbearer battles darkness.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
420,yes,Half-Life 2: Episode Two,silent_fixed_protagonist,3,Hero/Warrior,Rebel/Outlaw,Sage/Investigator,3,3,0,2,2,yes,none,False,general_knowledge,Gordon continues resistance mission.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
1419170,no,My Singing Monsters,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,simulator_or_management,False,general_knowledge,Monster collection management.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
967050,no,Pacify,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Co-op horror investigator avatars.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
1288310,yes,Firework,fixed_named_single,2,Sage/Investigator,Explorer/Seeker,Magician/Transformer,2,2,0,1,3,maybe,none,True,general_knowledge,Police investigator probes supernatural case.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
527230,yes,For The King,player_avatar_weakly_defined,2,Hero/Warrior,Caregiver/Guardian,Explorer/Seeker,2,1,0,3,1,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,Generic party saves kingdom.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
1669980,yes,Volcano Princess,fixed_role_single,3,Caregiver/Guardian,Ruler/Leader,Lover,3,3,0,2,2,yes,simulator_or_management,False,general_knowledge,Parent raises and guides daughter.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
225080,yes,Brothers - A Tale of Two Sons,fixed_dual,3,Caregiver/Guardian,Innocent,Hero/Warrior,3,3,0,1,2,yes,none,False,general_knowledge,Two brothers seek father’s cure.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
751780,yes,Forager,player_avatar_weakly_defined,2,Creator/Artist,Explorer/Seeker,Innocent,2,1,0,3,1,maybe,none,False,general_knowledge,Minimal crafting explorer avatar.,steam-v005-top1000-55-chunk-00011-ranks-501-550,top1000_55,gpt-5.5
245170,no,Skullgirls roster,no_clear_protagonist,1,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Fighting roster lacks central protagonist,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
337000,yes,Adam Jensen,fixed_named_single,3,Sage/Investigator,Shadow/Antihero,Hero/Warrior,3,3,2,1,3,yes,none,False,general_knowledge,Augmented investigator in conspiracy plot,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
302510,yes,Marius Titus,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Ruler/Leader,3,3,2,1,2,yes,none,False,general_knowledge,Roman soldier driven by vengeance,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
204450,yes,Silas Greaves,fixed_named_single,3,Shadow/Antihero,Rebel/Outlaw,Hero/Warrior,3,3,3,1,2,yes,none,False,general_knowledge,Vengeful bounty hunter storyteller,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1840,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,0,0,no,insufficient_information,False,general_knowledge,"Filmmaking tool, not a game narrative",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
704270,yes,Teen survivor,player_avatar_weakly_defined,2,Everyman/Orphan,Hero/Warrior,Explorer/Seeker,2,2,1,3,1,maybe,none,True,general_knowledge,Custom survivor fighting robot invasion,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1845910,yes,Rook,customizable_but_defined,3,Hero/Warrior,Ruler/Leader,Explorer/Seeker,2,3,1,3,3,yes,none,False,general_knowledge,Custom leader opposing elven gods,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
42700,yes,Alex Mason,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Sage/Investigator,3,3,2,1,3,yes,none,False,general_knowledge,Brainwashed soldier uncovering conspiracy,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
24240,yes,PAYDAY crew,fixed_ensemble,2,Rebel/Outlaw,Shadow/Antihero,Jester/Trickster,2,2,3,2,1,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,Criminal heist ensemble,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1080110,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,Formula racing sports role,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
310560,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,Rally racing without narrative protagonist,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
555160,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,VR multiplayer shooter sandbox,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1369630,yes,Lily,fixed_named_single,3,Innocent,Caregiver/Guardian,Magician/Transformer,3,3,1,1,2,yes,none,False,general_knowledge,Pure priestess cleansing a ruined kingdom,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1850570,yes,Sam Porter Bridges,fixed_named_single,3,Caregiver/Guardian,Explorer/Seeker,Hero/Warrior,3,3,1,1,3,yes,none,False,general_knowledge,Courier reconnecting a fractured America,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
3070070,no,,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,simulator_or_management,False,general_knowledge,Shop management simulator role,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
692850,yes,Miriam,fixed_named_single,3,Hero/Warrior,Magician/Transformer,Shadow/Antihero,3,3,2,1,2,yes,none,False,general_knowledge,Cursed shardbinder fights demonic ritual,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
32470,no,,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,pure_strategy_or_systemic_role,False,general_knowledge,Strategy control of Star Wars factions,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1544020,yes,Jacob Lee,fixed_named_single,3,Everyman/Orphan,Shadow/Antihero,Hero/Warrior,3,3,2,1,2,yes,none,False,general_knowledge,Prisoner survivor facing biophage horror,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
208090,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Multiplayer arena shooter, generic combatants",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1088850,yes,Peter Quill,fixed_named_single,3,Jester/Trickster,Ruler/Leader,Hero/Warrior,3,3,1,1,3,yes,none,False,general_knowledge,Comic outlaw captain learning leadership,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1644960,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,Basketball sports simulation,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1225330,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,Basketball sports simulation,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
805550,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,GT racing simulator,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
745920,yes,Temtem tamer,player_avatar_weakly_defined,2,Explorer/Seeker,Innocent,Hero/Warrior,2,2,0,3,1,maybe,none,True,general_knowledge,Custom creature tamer adventure avatar,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1128810,no,,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,pure_strategy_or_systemic_role,False,general_knowledge,Board-game nation domination role,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
322500,yes,Player hacker,fixed_role_single,2,Rebel/Outlaw,Sage/Investigator,Shadow/Antihero,2,2,2,3,2,maybe,none,True,general_knowledge,Abstract player trapped by system,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
2551020,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Generic cooperative robbers,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1178830,yes,Shelia,fixed_named_single,3,Hero/Warrior,Sage/Investigator,Magician/Transformer,3,3,1,1,2,yes,none,False,general_knowledge,Agent investigates supernatural anomaly,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
544810,no,,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,pure_strategy_or_systemic_role,False,general_knowledge,WWII card-battle commander abstraction,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
228380,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,Demolition racing without narrative protagonist,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
884660,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Battle royale roster lacks central protagonist,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
109600,yes,Neverwinter hero,player_avatar_weakly_defined,2,Hero/Warrior,Explorer/Seeker,Magician/Transformer,2,2,1,3,1,maybe,none,True,general_knowledge,Custom MMO adventurer hero,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
895400,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,1,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Open survival PvP, generic survivors",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1184370,yes,Knight Commander,customizable_but_defined,3,Hero/Warrior,Ruler/Leader,Magician/Transformer,3,3,1,3,3,yes,none,False,general_knowledge,Custom crusade commander with mythic path,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
312530,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Party combat ducks, no narrative lead",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
611500,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Arena champion roster, no main protagonist",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
668580,yes,Major Nechaev,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Sage/Investigator,3,3,2,1,3,yes,none,False,general_knowledge,Troubled agent investigating Soviet facility,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
2420510,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Roguelite VTuber roster, no single lead",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
115300,yes,Task Force ensemble,fixed_ensemble,2,Hero/Warrior,Caregiver/Guardian,Shadow/Antihero,2,2,1,1,2,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,Military campaign with multiple soldier protagonists,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1259970,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,Football sports simulation,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
675010,no,,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,simulator_or_management,False,general_knowledge,Vehicle logistics simulator,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
17410,yes,Faith Connors,fixed_named_single,3,Rebel/Outlaw,Explorer/Seeker,Hero/Warrior,3,3,1,1,2,yes,none,False,general_knowledge,Runner resisting surveillance city,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
35450,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Multiplayer historical shooter lacks protagonist,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1210320,no,,simulator_or_management_role,2,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,simulator_or_management,False,general_knowledge,Alchemy shop simulator role,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
412220,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Community platform racing, no narrative lead",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
107100,yes,The Kid,fixed_role_single,3,Everyman/Orphan,Hero/Warrior,Explorer/Seeker,3,3,1,1,2,yes,none,False,general_knowledge,Lone survivor rebuilding after Calamity,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
242860,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Multiplayer WWI shooter lacks protagonist,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
1462040,yes,Cloud Strife,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Everyman/Orphan,3,3,2,1,3,yes,none,False,general_knowledge,Traumatized mercenary turned protector,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
554620,yes,Chloe Price,fixed_named_single,3,Rebel/Outlaw,Lover,Everyman/Orphan,3,3,2,1,3,yes,none,False,general_knowledge,Grieving teen rebel seeks connection,steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
113400,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,1,3,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Online cops-criminals sandbox, no lead",steam-v005-top1000-55-chunk-00012-ranks-551-600,top1000_55,gpt-5.5
787480,yes,Phoenix Wright,fixed_named_single,3,Sage/Investigator,Hero/Warrior,Everyman/Orphan,3,3,0,0,3,yes,none,False,general_knowledge,Lawyer-investigator trilogy protagonist.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
418240,yes,Blades team,fixed_ensemble,3,Hero/Warrior,Sage/Investigator,Shadow/Antihero,2,2,1,0,2,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Fixed stealth ensemble.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
236870,yes,Agent 47,fixed_named_single,3,Shadow/Antihero,Sage/Investigator,Rebel/Outlaw,3,3,3,0,2,yes,none,False,general_knowledge,Iconic assassin antihero.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
223750,no,,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,simulator_or_management,False,general_knowledge,Combat flight simulator.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
24960,yes,Preston Marlowe,fixed_named_single,2,Hero/Warrior,Everyman/Orphan,Rebel/Outlaw,2,2,1,1,2,maybe,none,False,general_knowledge,Campaign soldier in squad.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
2021910,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,no_clear_protagonist,False,general_knowledge,Chess combat pieces only.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
1971870,yes,Mortal Kombat fighters,fixed_ensemble,2,Hero/Warrior,Magician/Transformer,Ruler/Leader,2,2,2,0,2,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Story roster ensemble.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
1296830,yes,Bi-an,fixed_named_single,2,Hero/Warrior,Explorer/Seeker,Shadow/Antihero,2,2,1,1,2,maybe,none,False,general_knowledge,Roguelite warrior protagonist.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
207140,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,sports_or_racing,False,general_knowledge,Competitive racing characters.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
1557740,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,no_clear_protagonist,False,general_knowledge,Abstract multiplayer duels.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
1244460,no,,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,2,1,no,simulator_or_management,False,general_knowledge,Park management simulation.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
532210,yes,Sean Diaz,fixed_named_single,3,Caregiver/Guardian,Everyman/Orphan,Explorer/Seeker,3,3,0,1,3,yes,none,False,general_knowledge,Brother-protector road story.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
438040,uncertain,Player adventurer,player_avatar_weakly_defined,1,Hero/Warrior,Jester/Trickster,Explorer/Seeker,1,1,0,3,1,maybe,unknown_game,True,metadata_inference,Weak MMO avatar.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
2321470,yes,Dwarf survivor,player_avatar_weakly_defined,2,Hero/Warrior,Explorer/Seeker,Everyman/Orphan,2,1,0,3,0,maybe,none,False,general_knowledge,Class-based solo dwarf.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
657200,no,,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,simulator_or_management,False,general_knowledge,Physics hand simulator.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
447530,yes,Jill Stingray,fixed_named_single,3,Everyman/Orphan,Caregiver/Guardian,Lover,3,3,1,0,3,yes,none,False,general_knowledge,Bartender character drama.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
334230,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,no_clear_protagonist,False,general_knowledge,Social deduction roles.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
8500,uncertain,Capsuleer,player_avatar_weakly_defined,1,Uncertain,Uncertain,Uncertain,1,0,1,3,1,no,pure_strategy_or_systemic_role,True,general_knowledge,Sandbox MMO avatar.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
12200,yes,Jimmy Hopkins,fixed_named_single,3,Rebel/Outlaw,Everyman/Orphan,Hero/Warrior,3,3,2,0,2,yes,none,False,general_knowledge,Rebellious school antihero.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
265630,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,no_clear_protagonist,False,general_knowledge,Multiplayer western shooter.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
1119730,no,,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,simulator_or_management,False,general_knowledge,Ranch management sandbox.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
1562700,yes,Veteran,fixed_role_single,2,Hero/Warrior,Caregiver/Guardian,Shadow/Antihero,2,3,2,1,3,yes,none,False,general_knowledge,Vengeful father-soldier.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
383980,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,2,1,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Fighting roster, no lead.",steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
704850,yes,Thief,fixed_role_single,2,Rebel/Outlaw,Sage/Investigator,Shadow/Antihero,2,1,2,3,1,maybe,none,False,general_knowledge,Role-defined criminal avatar.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
239820,no,,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,simulator_or_management,False,general_knowledge,Company management sim.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
823500,yes,Arthur Ford,fixed_named_single,3,Explorer/Seeker,Sage/Investigator,Shadow/Antihero,2,2,1,2,2,maybe,none,False,general_knowledge,VR researcher entering MythOS.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
250320,yes,Bigby Wolf,fixed_named_single,3,Sage/Investigator,Shadow/Antihero,Caregiver/Guardian,3,3,3,0,3,yes,none,False,general_knowledge,Detective with monstrous past.,steam-v005-top1000-55-chunk-00013-ranks-601-650,top1000_55,gpt-5.5
